product_type,baseline_emission,product_emission,abatement_cost_per_tco2,project_lifetime_years,verification_cost_per_year,annual_steel_production_tonnes,willingness_to_pay_multiplier,customer_segment,allocation_method,volume_tonnes,export_market,premium_per_tonne_steel,premium_per_tCO2,total_premium_for_volume,co2_savings_per_t,amortized_abatement_per_t,amortized_verification_per_t,base_premium_per_t,segment_allocation_multiplier,total_multiplier,domestic_premium_per_t,carbon_price_export,free_allowance_factor,export_carbon_component
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,physical,1000,Domestic,1253.04,530.95,1253040.0,2.36,708.0,200.0,908.0,1.38,1.38,1253.04,0.0,0.0,0.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,physical,1000,EU (CBAM),16593.04,7030.95,16593040.0,2.36,708.0,200.0,908.0,1.38,1.38,1253.04,6500.0,0.0,15340.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,physical,1000,South Korea,2326.84,985.95,2326840.0,2.36,708.0,200.0,908.0,1.38,1.38,1253.04,650.0,0.3,1073.8
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,physical,1000,Japan,1338.0,566.95,1338000.0,2.36,708.0,200.0,908.0,1.38,1.38,1253.04,180.0,0.8,84.96
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,certificate,1000,Domestic,1089.6,461.69,1089600.0,2.36,708.0,200.0,908.0,1.2,1.2,1089.6,0.0,0.0,0.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,certificate,1000,EU (CBAM),16429.6,6961.69,16429600.0,2.36,708.0,200.0,908.0,1.2,1.2,1089.6,6500.0,0.0,15340.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,certificate,1000,South Korea,2163.4,916.69,2163400.0,2.36,708.0,200.0,908.0,1.2,1.2,1089.6,650.0,0.3,1073.8
HRC,2.36,0.0,3000,10,20000000,100000,1.0,automotive,certificate,1000,Japan,1174.56,497.69,1174560.0,2.36,708.0,200.0,908.0,1.2,1.2,1089.6,180.0,0.8,84.96
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,physical,1000,Domestic,1096.41,464.58,1096410.0,2.36,708.0,200.0,908.0,1.208,1.208,1096.41,0.0,0.0,0.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,physical,1000,EU (CBAM),16436.41,6964.58,16436410.0,2.36,708.0,200.0,908.0,1.208,1.208,1096.41,6500.0,0.0,15340.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,physical,1000,South Korea,2170.21,919.58,2170210.0,2.36,708.0,200.0,908.0,1.208,1.208,1096.41,650.0,0.3,1073.8
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,physical,1000,Japan,1181.37,500.58,1181370.0,2.36,708.0,200.0,908.0,1.208,1.208,1096.41,180.0,0.8,84.96
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,certificate,1000,Domestic,953.4,403.98,953400.0,2.36,708.0,200.0,908.0,1.05,1.05,953.4,0.0,0.0,0.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,certificate,1000,EU (CBAM),16293.4,6903.98,16293400.0,2.36,708.0,200.0,908.0,1.05,1.05,953.4,6500.0,0.0,15340.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,certificate,1000,South Korea,2027.2,858.98,2027200.0,2.36,708.0,200.0,908.0,1.05,1.05,953.4,650.0,0.3,1073.8
HRC,2.36,0.0,3000,10,20000000,100000,1.0,construction,certificate,1000,Japan,1038.36,439.98,1038360.0,2.36,708.0,200.0,908.0,1.05,1.05,953.4,180.0,0.8,84.96
HRC,2.36,0.0,3000,10,20000000,100000,1.0,other,physical,1000,Domestic,1044.2,442.46,1044200.0,2.36,708.0,200.0,908.0,1.15,1.15,1044.2,0.0,0.0,0.0
HRC,2.36,0.0,3000,10,20000000,100000,1.0,other,physical,1000,EU (CBAM),16384.2,6942.46,16384200.0,2.36,708.0,200.0,908.0,1.15,1.15,1044.2,6500.0,0.0,15340.0
